Segment,Customer_Count,Percentage_of_Total,Churn_Rate,Total_CLV,Avg_ARPU
High Risk (Score>=2),2043,29.007525202328555,56.24082232011748,2410776.5,72.24522760646109
Medium Risk (Score=1),2030,28.822944767854608,25.320197044334975,4893257.25,66.28773399014779
Low Risk (Score=0),2970,42.16953002981684,6.936026936026936,8752134.95,58.570875420875424
High Value,1758,24.96095413886128,32.8782707622298,8060931.25,100.89897610921501
Medium Value,3523,50.021297742439295,31.02469486233324,6870744.1,68.00068123758162
Low Value,1762,25.01774811869942,11.237230419977298,1124493.35,22.230306469920546
